"","carat","cut","color","clarity","price"
"2509",1.01,"Premium","F","VS2",6900
"2510",0.53,"Ideal","H","VS1",1601
"2511",1.09,"Very Good","F","IF",10663
"2512",0.9,"Very Good","G","VS2",4081
"2513",0.52,"Ideal","F","VS1",1778
"2514",0.66,"Premium","F","VS1",2368
"2515",0.3,"Premium","H","VS2",473
"2516",2.35,"Premium","J","VS1",14399
"2517",1.51,"Very Good","F","VVS2",17203
"2518",0.26,"Ideal","G","VVS2",514
"2519",1.04,"Ideal","D","IF",14494
"2520",0.32,"Ideal","D","SI1",756
"2521",1.21,"Premium","H","VS2",7562
"2522",0.9,"Fair","F","SI1",3437
"2523",0.51,"Good","G","VVS1",1872
"2524",0.8,"Ideal","F","VS2",4816
"2525",0.31,"Ideal","G","VVS1",789
"2526",0.32,"Ideal","H","VVS2",645
"2527",0.7,"Very Good","G","SI1",2674
"2528",0.41,"Ideal","D","SI2",876
"2529",2.17,"Fair","G","I1",6817
"2530",0.75,"Ideal","F","SI1",3610
"2531",1.5,"Good","G","VS2",11577
"2532",1.11,"Ideal","J","SI1",4259
"2533",0.73,"Premium","H","SI2",2234
"2534",0.97,"Premium","D","SI1",4639
"2535",1.52,"Very Good","G","SI1",11014
"2536",0.73,"Ideal","H","SI1",2330
"2537",0.74,"Good","F","SI2",2685
"2538",1.57,"Ideal","E","SI2",10362
"2539",0.3,"Premium","D","SI1",709
"2540",0.91,"Premium","G","VVS2",5259
"2541",1.3,"Very Good","G","VS1",10654
"2542",0.51,"Premium","D","VS2",1928
"2543",0.31,"Very Good","F","VS2",583
"2544",0.55,"Very Good","E","VS2",1831
"2545",1.07,"Premium","G","SI2",4401
"2546",1.52,"Ideal","H","SI1",10589
"2547",1.5,"Ideal","G","VS2",13135
"2548",0.71,"Very Good","G","VS2",2515
"2549",1.2,"Good","I","SI1",5458
"2550",0.55,"Ideal","F","VS2",1709
"2551",0.51,"Ideal","G","VS2",1438
"2552",0.7,"Good","F","SI1",2289
"2553",1,"Good","D","SI2",4295
"2554",0.43,"Premium","E","SI2",716
"2555",1.51,"Premium","G","VS1",14375
"2556",0.91,"Ideal","F","SI2",3763
"2557",0.41,"Very Good","E","VVS2",1187
"2558",1.12,"Ideal","D","VS2",8279
"2559",0.81,"Premium","H","VS2",2795
"2560",0.3,"Ideal","H","VVS1",684
"2561",1.21,"Good","H","SI1",5893
"2562",0.75,"Ideal","F","VVS2",3710
"2563",1.12,"Ideal","G","VVS2",9820
"2564",0.5,"Ideal","D","SI1",1654
"2565",0.32,"Ideal","H","VVS1",730
"2566",0.69,"Good","D","VVS2",3369
"2567",0.9,"Very Good","G","VS1",4540
"2568",1.98,"Fair","H","VS1",12923
"2569",0.4,"Ideal","I","VVS1",1080
"2570",0.3,"Very Good","F","VS2",605
"2571",0.71,"Very Good","J","VS1",2062
"2572",0.66,"Ideal","H","SI1",1780
"2573",0.38,"Ideal","G","VVS1",949
"2574",0.91,"Good","F","SI1",3893
"2575",1.5,"Premium","H","VS2",11360
"2576",0.39,"Very Good","H","SI2",588
"2577",0.74,"Ideal","E","VS1",3888
"2578",0.33,"Ideal","G","VS2",743
"2579",1.23,"Very Good","E","VS1",10730
"2580",0.9,"Fair","E","SI1",3332
"2581",0.68,"Very Good","F","VVS2",3112
"2582",0.9,"Good","F","VS2",4617
"2583",0.57,"Ideal","I","VS1",1448
"2584",0.31,"Very Good","D","VS2",641
"2585",0.34,"Good","H","VS2",537
"2586",0.23,"Very Good","E","VVS2",530
"2587",2,"Premium","J","SI2",11899
"2588",1.4,"Very Good","G","VS1",11584
"2589",2.01,"Very Good","H","SI2",12617
"2590",0.63,"Premium","E","VVS2",2789
"2591",0.27,"Very Good","E","SI1",407
"2592",0.27,"Ideal","E","VS1",470
"2593",1.72,"Premium","H","SI1",12696
"2594",1.19,"Premium","I","SI2",4498
"2595",1.5,"Fair","F","SI1",11154
"2596",0.77,"Premium","G","SI1",2657
"2597",0.29,"Very Good","H","VS1",444
"2598",0.42,"Ideal","G","SI1",756
"2599",0.44,"Premium","E","SI1",778
"2600",1.22,"Premium","G","SI1",6777
"2601",1,"Good","G","VS2",5242
"2602",0.32,"Very Good","G","SI1",477
"2603",0.37,"Ideal","G","VS2",649
"2604",0.55,"Ideal","H","VVS2",1668
"2605",1.01,"Premium","F","SI1",4632
"2606",0.96,"Fair","I","SI2",2540
"2607",0.35,"Premium","E","VVS2",1024
"2608",1.04,"Good","F","SI1",5871
"2609",1,"Good","F","SI2",3799
"2610",0.36,"Ideal","D","VS2",1094
"2611",0.31,"Premium","D","SI1",571
"2612",1.02,"Very Good","G","VS2",6432
"2613",0.73,"Ideal","I","SI1",2122
"2614",0.5,"Premium","D","SI1",1433
"2615",0.39,"Ideal","G","VVS1",1008
"2616",0.7,"Very Good","F","VS2",2812
"2617",0.26,"Good","D","VS1",403
"2618",0.33,"Ideal","G","VS2",604
"2619",1.21,"Ideal","I","SI2",4879
"2620",1.17,"Ideal","J","SI1",4617
"2621",0.33,"Ideal","I","VS2",594
"2622",1.03,"Fair","D","SI1",4441
"2623",0.34,"Ideal","E","VS2",956
"2624",0.3,"Ideal","D","VVS2",814
"2625",1.5,"Very Good","F","VS2",12526
"2626",0.72,"Ideal","G","VS1",2724
"2627",0.3,"Ideal","H","VVS2",605
"2628",0.42,"Premium","H","SI1",1008
"2629",0.61,"Ideal","D","VVS1",4241
"2630",0.41,"Very Good","D","SI2",638
"2631",1.55,"Premium","J","VS2",8055
"2632",0.91,"Premium","D","SI2",4051
"2633",0.8,"Very Good","G","SI2",2616
"2634",2.15,"Ideal","G","SI2",18791
"2635",0.53,"Ideal","E","VS2",1676
"2636",1.27,"Ideal","G","IF",11157
"2637",0.32,"Ideal","G","VS2",561
"2638",1.24,"Very Good","F","VVS2",11130
"2639",0.24,"Ideal","G","VVS2",498
"2640",0.58,"Ideal","D","SI2",1442
"2641",1.53,"Ideal","H","SI2",9562
"2642",1.1,"Premium","G","VS2",6653
"2643",0.71,"Premium","E","VS2",2817
"2644",0.75,"Very Good","D","SI1",2760
"2645",0.39,"Good","E","VVS2",943
"2646",0.54,"Ideal","H","VVS2",1639
"2647",0.58,"Ideal","G","VVS1",2256
"2648",1.5,"Premium","H","SI2",6979
"2649",1.45,"Premium","H","VS2",9216
"2650",0.63,"Premium","J","SI1",1181
"2651",0.9,"Very Good","H","VS2",3989
"2652",0.51,"Good","E","VVS1",2020
"2653",0.35,"Very Good","H","SI2",551
"2654",0.43,"Premium","D","VS2",1129
"2655",0.24,"Very Good","H","VVS2",449
"2656",0.9,"Premium","G","SI2",3303
"2657",0.7,"Very Good","H","VS2",2276
"2658",0.53,"Ideal","I","IF",1654
"2659",0.31,"Premium","E","VS2",872
"2660",0.9,"Very Good","J","SI1",3830
"2661",0.81,"Very Good","G","SI2",2095
"2662",0.58,"Very Good","J","VS2",1147
"2663",2.01,"Fair","J","SI1",11212
"2664",1,"Good","F","I1",2717
"2665",0.72,"Premium","D","SI1",2782
"2666",0.84,"Ideal","G","VS2",3936
"2667",1.04,"Ideal","I","SI2",3953
"2668",0.57,"Ideal","F","VVS2",2321
"2669",0.7,"Ideal","F","SI1",2230
"2670",0.79,"Premium","G","VS1",3053
"2671",0.34,"Ideal","D","VVS2",918
"2672",0.37,"Ideal","G","VVS1",936
"2673",0.31,"Premium","E","SI1",698
"2674",0.36,"Very Good","E","SI1",615
"2675",0.7,"Ideal","H","VS1",2492
"2676",0.52,"Very Good","G","VS1",1621
"2677",1.02,"Very Good","G","SI2",4291
"2678",1.02,"Premium","G","SI2",4078
"2679",0.56,"Fair","E","SI2",1389
"2680",1.17,"Ideal","G","VVS1",9799
"2681",0.71,"Ideal","F","SI1",2838
"2682",0.32,"Very Good","G","VS1",645
"2683",0.3,"Ideal","F","VS1",731
"2684",0.34,"Ideal","D","VS2",805
"2685",0.4,"Ideal","D","SI1",690
"2686",1.03,"Ideal","D","SI1",6299
"2687",0.71,"Good","D","SI2",2215
"2688",0.4,"Premium","E","SI1",882
"2689",1.6,"Very Good","I","VVS1",11170
"2690",1.6,"Premium","J","SI1",7550
"2691",0.52,"Very Good","F","SI1",1244
"2692",0.31,"Very Good","F","VS2",583
"2693",0.38,"Ideal","F","VVS1",1096
"2694",1.51,"Premium","J","VS1",8524
"2695",0.53,"Premium","H","VS2",1412
"2696",0.3,"Premium","D","SI1",552
"2697",1.51,"Fair","F","SI2",8287
"2698",1.24,"Premium","H","VS1",7092
"2699",1.51,"Ideal","D","SI1",12648
"2700",0.26,"Ideal","E","VS1",556
"2701",0.33,"Ideal","I","VVS2",579
"2702",1.31,"Premium","H","VS2",7277
"2703",0.56,"Ideal","H","VS1",1715
"2704",0.32,"Very Good","I","IF",673
"2705",0.45,"Very Good","F","SI2",729
"2706",1.49,"Ideal","F","VVS2",18614
"2707",0.45,"Ideal","E","VVS2",1401
"2708",0.24,"Very Good","H","VVS2",449
"2709",0.54,"Premium","H","VS2",1389
"2710",1,"Very Good","H","SI2",3920
"2711",1.19,"Very Good","H","SI1",5595
"2712",0.41,"Premium","F","VVS2",1192
"2713",1.75,"Premium","F","SI2",8820
"2714",1.01,"Ideal","I","I1",2896
"2715",0.8,"Very Good","H","SI2",2502
"2716",1.54,"Premium","G","VS1",13733
"2717",1.2,"Premium","E","SI1",7362
"2718",0.52,"Ideal","F","SI2",1226
"2719",1.11,"Very Good","H","SI2",4029
"2720",0.51,"Premium","D","VS1",1873
"2721",1.51,"Good","D","I1",5979
"2722",0.54,"Premium","D","SI1",1786
"2723",0.79,"Ideal","H","VVS2",3324
"2724",0.35,"Ideal","H","IF",984
"2725",0.9,"Premium","G","VS2",4137
"2726",0.7,"Ideal","F","VS2",3011
"2727",0.51,"Good","G","SI1",1220
"2728",0.85,"Premium","F","VVS2",4530
"2729",1.63,"Ideal","F","SI1",13363
"2730",0.91,"Very Good","E","SI2",3876
"2731",0.32,"Ideal","G","VS1",665
"2732",0.38,"Ideal","G","VS1",998
"2733",1.02,"Ideal","J","VS2",4397
"2734",0.38,"Ideal","H","VVS2",832
"2735",2.38,"Premium","J","VS2",18559
"2736",0.53,"Ideal","G","VVS2",1948
"2737",0.93,"Very Good","D","I1",2618
"2738",0.82,"Ideal","I","VS1",2522
"2739",0.73,"Premium","F","VS2",2933
"2740",1.01,"Good","F","VVS2",7059
"2741",0.73,"Very Good","G","VS1",2825
"2742",2.51,"Ideal","I","SI2",18037
"2743",0.41,"Premium","J","VVS1",775
"2744",2.03,"Ideal","I","SI1",15291
"2745",0.58,"Ideal","F","VS1",1979
"2746",1.29,"Very Good","F","SI2",4977
"2747",0.41,"Ideal","H","VS1",827
"2748",1,"Good","F","SI1",4372
"2749",0.3,"Ideal","G","IF",863
"2750",1.04,"Ideal","H","VS1",6255
"2751",0.33,"Ideal","D","SI1",736
"2752",0.59,"Ideal","G","SI1",1376
"2753",1.1,"Ideal","H","SI2",4537
"2754",0.38,"Ideal","G","SI1",969
"2755",1.04,"Ideal","H","SI2",4368
"2756",1.56,"Premium","F","SI2",7950
"2757",0.73,"Ideal","D","VS2",3346
"2758",0.71,"Very Good","F","VVS2",3332
"2759",1.2,"Very Good","H","SI1",6019
"2760",0.31,"Ideal","F","VS2",802
"2761",0.38,"Premium","D","SI2",812
"2762",0.38,"Ideal","D","VVS1",1270
"2763",3.01,"Fair","H","I1",10761
"2764",0.9,"Ideal","H","SI1",4492
"2765",1.7,"Premium","G","SI1",13737
"2766",0.62,"Ideal","G","SI1",1563
"2767",0.32,"Ideal","H","VVS2",645
"2768",0.32,"Ideal","G","SI2",540
"2769",0.3,"Ideal","H","VVS1",878
"2770",0.32,"Ideal","G","VS1",551
"2771",0.31,"Very Good","G","VS2",698
"2772",1.5,"Premium","H","VVS2",11855
"2773",0.36,"Ideal","H","VS2",587
"2774",0.9,"Premium","D","SI1",4181
"2775",0.24,"Very Good","F","VVS2",552
"2776",1.03,"Ideal","E","SI2",4522
"2777",0.23,"Very Good","D","VVS2",530
"2778",0.7,"Very Good","H","VS2",2513
"2779",0.7,"Ideal","G","VS1",2670
"2780",0.35,"Good","E","VS1",663
"2781",0.32,"Ideal","D","SI1",589
"2782",0.53,"Ideal","E","VVS2",2250
"2783",0.94,"Good","I","SI2",3079
"2784",0.41,"Ideal","E","VVS2",1082
"2785",0.41,"Very Good","D","SI2",727
"2786",0.57,"Very Good","J","VS2",1072
"2787",0.92,"Premium","F","SI2",3854
"2788",1.51,"Ideal","I","VS2",9891
"2789",0.7,"Fair","F","SI2",2035
"2790",1.14,"Ideal","H","SI1",5382
"2791",0.34,"Ideal","F","SI1",630
"2792",0.4,"Ideal","H","SI2",596
"2793",0.71,"Premium","H","VS2",2249
"2794",1.01,"Good","G","VS2",5701
"2795",1.1,"Ideal","H","VS2",4048
"2796",0.76,"Ideal","H","SI1",2578
"2797",0.41,"Ideal","E","VVS2",1187
"2798",1.21,"Premium","H","VS1",7555
"2799",0.7,"Ideal","G","SI1",2460
"2800",2.01,"Premium","G","SI2",18705
"2801",0.27,"Very Good","E","VVS1",682
"2802",1,"Very Good","E","SI2",3763
"2803",0.5,"Premium","E","SI1",1593
"2804",0.52,"Premium","D","VVS1",2553
"2805",2.04,"Premium","J","VS1",14660
"2806",0.74,"Ideal","D","VS2",3087
"2807",1.01,"Very Good","H","SI2",4023
"2808",2.1,"Ideal","G","SI2",18312
"2809",1.14,"Premium","D","SI1",6256
"2810",0.52,"Ideal","I","SI1",1094
"2811",0.3,"Premium","E","VS1",851
"2812",1.19,"Premium","I","SI2",4558
"2813",0.9,"Good","E","VS2",4315
"2814",1.17,"Very Good","H","SI2",4826
"2815",1.07,"Ideal","G","VS1",6793
"2816",1.34,"Ideal","F","SI1",7893
"2817",1.03,"Premium","E","SI2",4845
"2818",0.5,"Ideal","H","IF",2352
"2819",0.32,"Ideal","F","IF",949
"2820",0.39,"Ideal","D","VVS2",1290
"2821",0.7,"Ideal","F","SI1",2700
"2822",0.3,"Ideal","F","SI1",475
"2823",0.5,"Ideal","E","VS2",1624
"2824",1.51,"Ideal","F","SI1",12545
"2825",1.1,"Premium","I","SI1",4805
"2826",1.01,"Ideal","F","SI1",4276
"2827",0.7,"Good","I","SI1",1899
"2828",1.02,"Premium","H","SI1",4102
"2829",0.3,"Premium","D","IF",1208
"2830",0.82,"Fair","H","SI2",2358
"2831",0.51,"Ideal","G","VVS2",2197
"2832",0.33,"Premium","G","VS2",743
"2833",0.82,"Ideal","F","SI2",2867
"2834",0.7,"Premium","G","I1",1138
"2835",0.34,"Ideal","F","VS2",880
"2836",0.59,"Very Good","G","VVS1",2256
"2837",1,"Ideal","G","VVS1",8366
"2838",0.31,"Very Good","J","SI1",465
"2839",1.06,"Very Good","F","VS2",6823
"2840",1.44,"Premium","G","VS2",11032
"2841",0.32,"Premium","E","VS2",900
"2842",1.21,"Premium","H","SI1",5871
"2843",0.28,"Very Good","F","VVS2",596
"2844",2.05,"Ideal","H","VS2",18659
"2845",0.31,"Premium","E","SI1",698
"2846",0.3,"Ideal","E","VS2",619
"2847",1.02,"Ideal","D","VVS2",11765
"2848",0.27,"Very Good","D","VVS2",620
"2849",1.5,"Good","I","SI1",8258
"2850",0.31,"Ideal","G","VVS1",1046
"2851",1.7,"Ideal","I","VS1",12209
"2852",0.23,"Very Good","F","VVS2",465
"2853",0.9,"Very Good","G","VVS1",4601
"2854",0.36,"Premium","G","SI2",608
"2855",0.72,"Good","E","VS2",3140
"2856",0.53,"Very Good","F","SI1",1291
"2857",0.3,"Premium","I","VVS2",675
"2858",0.96,"Fair","H","I1",1808
"2859",1.24,"Premium","F","VS1",9930
"2860",0.34,"Ideal","D","IF",2287
"2861",1.25,"Ideal","E","VVS2",13006
"2862",0.33,"Premium","F","VS2",854
"2863",0.9,"Very Good","E","SI1",3689
"2864",1.11,"Ideal","G","VS1",7917
"2865",0.38,"Ideal","D","VS1",1092
"2866",1.7,"Very Good","H","VS2",12874
"2867",0.35,"Ideal","F","VS2",906
"2868",0.75,"Very Good","E","VS2",3817
"2869",0.62,"Ideal","F","VS1",2406
"2870",0.83,"Ideal","H","VS2",3171
"2871",0.3,"Premium","H","SI2",485
"2872",1.55,"Ideal","D","VS2",17441
"2873",0.71,"Premium","D","SI2",2768
"2874",1.56,"Ideal","H","VS2",11922
"2875",1.29,"Ideal","D","I1",5158
"2876",0.3,"Ideal","E","VS2",844
"2877",0.4,"Very Good","E","VS2",912
"2878",0.35,"Very Good","H","VVS1",733
"2879",0.73,"Ideal","G","SI1",2321
"2880",2.1,"Premium","I","VS2",14394
"2881",1.22,"Premium","H","VS1",6661
"2882",0.5,"Premium","H","SI1",1094
"2883",1.21,"Fair","J","SI1",4147
"2884",1.51,"Premium","F","VS2",14294
"2885",0.44,"Ideal","E","VVS2",1274
"2886",0.87,"Very Good","H","SI1",3180
"2887",1.26,"Very Good","E","SI2",5976
"2888",2.42,"Premium","J","SI2",16198
"2889",0.9,"Very Good","H","SI1",3643
"2890",1.39,"Very Good","H","VS2",8951
"2891",0.52,"Ideal","D","VS2",1919
"2892",1.04,"Ideal","G","VVS1",8637
"2893",0.41,"Premium","G","SI1",923
"2894",0.33,"Very Good","I","VS1",668
"2895",1,"Premium","F","SI2",4333
"2896",0.32,"Ideal","D","VS2",972
"2897",1.19,"Ideal","G","VS1",9918
"2898",1.42,"Premium","H","SI2",7316
"2899",0.33,"Premium","I","VS1",521
"2900",0.36,"Premium","E","VS2",1013
"2901",1.11,"Ideal","H","SI1",5315
"2902",2.18,"Very Good","G","SI2",17475
"2903",1.12,"Ideal","G","VS1",7716
"2904",1.21,"Premium","I","SI2",4879
"2905",1.52,"Good","J","VS2",6982
"2906",1.5,"Fair","H","VS2",10206
"2907",1.72,"Premium","H","VS2",13122
"2908",1.27,"Ideal","J","SI2",4779
"2909",1,"Premium","G","SI2",3136
"2910",1.01,"Premium","I","SI2",3971
"2911",0.49,"Premium","F","VS2",1261
"2912",1.53,"Very Good","H","SI1",10473
"2913",1.01,"Premium","E","SI2",4751
"2914",1.55,"Very Good","G","SI1",10707
"2915",1.01,"Premium","E","SI1",5430
"2916",0.55,"Ideal","H","VS2",1402
"2917",1.03,"Ideal","F","VVS1",9598
"2918",0.34,"Ideal","D","VVS1",1211
"2919",0.58,"Ideal","E","VS2",1984
"2920",0.68,"Very Good","E","SI2",1821
"2921",0.3,"Ideal","D","SI1",709
"2922",0.3,"Very Good","E","VVS2",622
"2923",0.54,"Ideal","H","IF",1981
"2924",1.01,"Premium","F","VS2",5988
"2925",0.34,"Ideal","H","VVS2",686
"2926",0.56,"Ideal","D","VS2",1963
"2927",1.02,"Ideal","G","VS2",6418
"2928",0.86,"Very Good","E","VS2",4665
"2929",1.02,"Ideal","F","VS2",7326
"2930",0.3,"Ideal","F","SI1",475
"2931",1,"Ideal","J","VS1",4466
"2932",0.7,"Good","E","VVS2",2857
"2933",0.36,"Premium","F","VVS2",983
"2934",0.31,"Ideal","H","VS2",628
"2935",0.31,"Ideal","G","IF",1028
"2936",1.07,"Ideal","I","VS2",4319
"2937",0.3,"Ideal","E","VVS2",949
"2938",1.56,"Ideal","G","VS1",16052
"2939",1.07,"Ideal","G","VVS2",8393
"2940",0.35,"Ideal","G","IF",1001
"2941",0.9,"Premium","D","SI1",4381
"2942",1.2,"Very Good","J","VS1",5016
"2943",0.4,"Very Good","G","SI1",702
"2944",1.5,"Very Good","J","VS2",7402
"2945",1.09,"Ideal","I","VS2",5904
"2946",0.7,"Premium","D","VS1",3425
"2947",0.84,"Good","I","VS1",2753
"2948",1.01,"Very Good","D","SI1",5731
"2949",0.51,"Ideal","G","VS2",1450
"2950",1.01,"Very Good","D","VS2",6905
"2951",0.51,"Ideal","F","SI1",1593
"2952",0.77,"Ideal","J","VS2",2257
"2953",1.01,"Ideal","J","SI2",3732
"2954",1.52,"Premium","H","VS2",11105
"2955",0.4,"Ideal","H","IF",1074
"2956",0.33,"Good","F","VS2",666
"2957",0.7,"Premium","I","SI2",1715
"2958",0.51,"Ideal","E","SI1",1546
"2959",0.55,"Ideal","F","VVS2",2294
"2960",0.76,"Ideal","E","SI1",3003
"2961",1.19,"Premium","H","SI2",4332
"2962",1.02,"Premium","F","SI2",4459
"2963",0.4,"Ideal","E","VVS1",1333
"2964",1.17,"Premium","H","SI1",5751
"2965",0.64,"Very Good","D","VS2",2332
"2966",0.38,"Ideal","H","VVS2",832
"2967",0.51,"Ideal","E","VS2",1656
"2968",0.72,"Premium","G","SI2",2022
"2969",0.31,"Ideal","E","SI2",558
"2970",0.41,"Premium","F","VS1",1076
"2971",1.01,"Good","E","SI1",5226
"2972",0.6,"Good","F","SI1",1599
"2973",0.91,"Very Good","G","VS1",4209
"2974",0.31,"Premium","E","VS1",636
"2975",0.56,"Premium","G","SI1",1345
"2976",1.06,"Premium","E","SI1",4078
"2977",0.3,"Ideal","D","VVS1",933
"2978",0.4,"Ideal","H","VVS2",877
"2979",1.03,"Ideal","G","SI1",5518
"2980",0.31,"Very Good","G","VVS1",816
"2981",0.78,"Very Good","D","VS1",3923
"2982",0.41,"Premium","F","VVS2",1115
"2983",0.3,"Ideal","F","VS1",673
"2984",1.54,"Premium","J","SI1",5028
"2985",0.33,"Premium","G","VS2",693
"2986",1.22,"Premium","I","SI1",5466
"2987",0.35,"Very Good","F","VVS1",909
"2988",1.25,"Premium","J","VS1",5500
"2989",1.01,"Premium","D","SI2",4072
"2990",0.7,"Very Good","H","VS1",2145
"2991",0.9,"Premium","H","VS2",4082
"2992",2.04,"Very Good","I","SI1",17323
"2993",1.51,"Very Good","D","SI2",10546
"2994",0.87,"Ideal","H","SI2",2816
"2995",1.07,"Premium","H","SI2",3775
"2996",0.91,"Very Good","F","SI2",4054
"2997",1.59,"Ideal","H","VS1",13839
"2998",1.03,"Very Good","I","SI2",5884
"2999",0.3,"Premium","D","SI1",552
"3000",0.42,"Premium","E","SI1",722
"3001",2.02,"Premium","F","SI2",18487
"3002",0.25,"Ideal","H","VS1",445
"3003",0.31,"Ideal","G","VS2",698
"3004",0.31,"Premium","G","VVS1",816
"3005",0.7,"Good","D","SI2",2242
"3006",0.93,"Ideal","D","SI2",3990
"3007",2.05,"Premium","I","SI1",15837
"3008",1.52,"Very Good","I","VS2",8938
"3009",1.87,"Ideal","J","SI1",10137
"3010",2.39,"Ideal","I","VS2",17955
"3011",1.04,"Premium","G","SI2",4200
"3012",1.41,"Premium","D","SI2",6988
"3013",0.71,"Ideal","I","VS1",2525
"3014",0.3,"Premium","H","SI1",540
"3015",1.05,"Premium","G","VS2",5821
"3016",1.22,"Ideal","G","VS1",9292
"3017",0.41,"Ideal","E","VS2",875
"3018",0.4,"Premium","G","VVS2",982
"3019",0.42,"Good","F","SI1",926
"3020",0.71,"Premium","F","SI1",2458
"3021",0.56,"Ideal","G","VS1",1819
"3022",0.3,"Premium","H","VS1",675
"3023",0.41,"Very Good","D","SI1",791
"3024",1.3,"Premium","F","VS1",10930
"3025",1.51,"Ideal","J","VS1",8524
"3026",1.27,"Premium","I","I1",3732
"3027",0.27,"Very Good","F","VS2",470
"3028",0.39,"Very Good","J","VS1",616
"3029",0.34,"Ideal","D","VVS1",1272
"3030",1.53,"Very Good","D","SI2",9001
"3031",0.55,"Ideal","F","VS1",2119
"3032",1.2,"Premium","H","SI1",5822
"3033",0.55,"Ideal","H","VVS2",1668
"3034",0.31,"Very Good","F","VS2",625
"3035",1.01,"Premium","G","VS2",6108
"3036",0.93,"Ideal","F","SI2",3266
"3037",0.63,"Premium","H","VS1",1921
"3038",0.71,"Premium","H","SI2",1826
"3039",1.01,"Very Good","F","VS2",6714
"3040",0.73,"Very Good","E","VS1",3226
"3041",0.26,"Ideal","E","VVS1",769
"3042",0.33,"Ideal","E","VS2",928
"3043",1.71,"Good","F","SI2",6971
"3044",0.27,"Ideal","H","VS1",464
"3045",1.13,"Ideal","D","VVS2",12261
"3046",0.74,"Good","G","SI1",1865
"3047",0.77,"Good","H","VVS2",2734
"3048",1.01,"Premium","F","VS2",6707
"3049",2.02,"Very Good","D","SI2",17263
"3050",0.91,"Very Good","D","VS2",5825
"3051",0.38,"Very Good","J","SI1",538
"3052",2.22,"Premium","I","SI1",14095
"3053",1.13,"Premium","H","SI1",4256
"3054",0.56,"Ideal","G","IF",2298
"3055",1.51,"Ideal","F","VS2",14247
"3056",0.32,"Premium","E","VVS1",814
"3057",0.72,"Ideal","F","SI1",3242
"3058",0.9,"Premium","E","SI2",3701
"3059",0.63,"Ideal","E","VVS2",2697
"3060",0.32,"Premium","G","IF",1020
"3061",0.3,"Very Good","F","VS2",605
"3062",2,"Premium","J","SI1",12308
"3063",0.7,"Very Good","E","VS2",2952
"3064",0.7,"Good","I","VS1",2443
"3065",0.57,"Premium","E","SI1",1608
"3066",1.18,"Very Good","E","I1",3965
"3067",1.58,"Premium","E","SI2",7963
"3068",0.31,"Very Good","G","VVS1",816
"3069",0.52,"Ideal","D","SI1",1651
"3070",0.3,"Good","E","SI1",675
"3071",1.1,"Very Good","I","SI1",3573
"3072",0.25,"Ideal","E","VVS2",576
"3073",0.7,"Very Good","E","IF",4679
"3074",0.71,"Premium","H","VS1",2398
"3075",1.13,"Ideal","G","VS2",7159
"3076",0.32,"Premium","D","VS2",829
"3077",0.6,"Ideal","G","VVS2",2467
"3078",0.33,"Ideal","G","IF",968
"3079",0.76,"Ideal","F","VS1",3680
"3080",0.31,"Good","E","SI1",544
"3081",0.57,"Very Good","G","I1",929
"3082",0.58,"Ideal","F","VS1",2227
"3083",0.91,"Good","G","VS1",4150
"3084",0.35,"Premium","I","VS1",709
"3085",1,"Premium","G","VS2",5967
"3086",2.04,"Premium","F","SI2",18066
"3087",0.67,"Fair","F","SI1",1642
"3088",1.02,"Very Good","H","VS2",5393
"3089",2.01,"Good","F","SI2",16231
"3090",2.2,"Ideal","I","SI1",18059
"3091",0.92,"Ideal","F","VS1",6360
"3092",0.32,"Ideal","G","VVS2",936
"3093",1.21,"Ideal","H","SI1",7810
"3094",0.4,"Very Good","D","VS2",851
"3095",0.59,"Ideal","E","VS1",2294
"3096",0.56,"Very Good","G","VVS2",2010
"3097",0.38,"Very Good","G","VVS1",970
"3098",0.82,"Ideal","F","SI2",2841
"3099",0.5,"Ideal","E","SI1",1415
"3100",0.31,"Ideal","H","VS1",698
"3101",1.27,"Very Good","G","VS2",8549
"3102",1.76,"Very Good","H","VS2",13503
"3103",0.5,"Premium","E","VS2",1684
"3104",0.71,"Ideal","J","VS2",2052
"3105",0.72,"Ideal","E","VS2",2691
"3106",0.7,"Ideal","E","SI2",2475
"3107",1,"Premium","F","SI1",3881
"3108",0.37,"Premium","D","VVS2",971
"3109",1.15,"Ideal","G","SI1",6313
"3110",0.5,"Ideal","E","SI1",1409
"3111",0.6,"Premium","E","VS1",1875
"3112",0.39,"Ideal","G","VVS2",902
"3113",0.3,"Good","D","SI1",515
"3114",0.5,"Very Good","I","VS1",1242
"3115",1.11,"Ideal","D","VVS1",14584
"3116",0.53,"Good","E","SI2",1141
"3117",0.5,"Premium","F","SI2",1125
"3118",0.7,"Premium","D","SI1",2355
"3119",0.33,"Ideal","E","VS2",738
"3120",0.31,"Ideal","G","VVS2",931
"3121",0.71,"Good","F","IF",3393
"3122",1.04,"Ideal","J","SI1",3931
"3123",0.6,"Premium","F","VVS2",2316
"3124",1,"Ideal","I","SI1",3472
"3125",0.3,"Premium","H","VS1",675
"3126",0.45,"Ideal","G","IF",1548
"3127",1.13,"Premium","J","SI2",4093
"3128",1.01,"Ideal","F","VS1",8133
"3129",1.5,"Premium","E","SI2",8190
"3130",1.09,"Very Good","G","VS1",7992
"3131",1.71,"Ideal","E","SI2",12978
"3132",0.32,"Premium","F","VVS1",926
"3133",1.26,"Premium","I","VS2",6023
